column_name,mean,std,min,max,missing_count
Air Temperature,12.624225073635074,10.435491250453873,-29.78,37.6,75
Wet Bulb Temperature,10.27482096273034,9.403981662014425,-28.9,28.4,75947
Humidity,68.02391588942149,15.633995713561301,0.0,100.0,0
Rain Intensity,0.15892693950118802,1.794022816610356,0.0,183.6,75947
Interval Rain,0.14236790227850427,1.0969230607538099,-0.9,63.42,0
Total Rain,141.48457122443216,190.4590771816808,0.0,1056.1,75947
Precipitation Type,4.267774953059834,15.589548562681943,0.0,70.0,75947
Wind Direction,140.80295752191654,122.00747357163634,0.0,359.0,0
Wind Speed,2.918785307137072,5.341879881583158,0.0,999.9,0
Maximum Wind Speed,3.556968208931655,5.955099747225225,0.0,999.9,0
Barometric Pressure,994.3134273348728,10.02922023732468,0.0,3098.5,146
Solar Radiation,112.34736874277301,842.8080702318339,-100000.0,1277.0,0
Heading,281.9668344881445,142.7717524102073,0.0,359.0,75947
Battery Life,13.163250014008243,1.5446151630769804,0.0,15.3,0
