feature,importance
Is Summer,0.44533484387383593
month,0.3861957405621589
total_rain_rolling_mean_24h,0.05179322130388657
solar_radiation_rolling_mean_7h,0.028426087359811364
Humidity,0.020581920780173676
humidity_rolling_mean_7h,0.018142068737718852
year,0.016657793482365978
Wind Direction Y,0.00829841525707551
day_of_week,0.005967903882012635
Solar Radiation,0.005633925384386891
Total Rain,0.0034921536737230717
hour,0.003435594921354647
Is Fall,0.002466504389409484
Heading,0.0014333607103475332
Maximum Wind Speed - Wind Speed,0.001282472688999996
is_weekend,0.00037164728623209636
Cos_Hour,0.00023666674652353433
Interval Rain,0.00011655088126482113
Rain Intensity x Humidity,9.828743122405339e-05
Rain Intensity,3.4840647494577254e-05
